,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Unnamed: 8
0,14,1,1,1,One fine day an old Maine man was fishing ,1,1,One fine day there was an old Maine man fishing ,
1,14,1,1,2,on his favorite lake ,1,2,out on his favorite lake ,
2,14,1,1,3,and catching very little,1,3,catching very little,
3,14,1,1,4,"Finally, he gave up",1,4,"Finally, he gave up ",
4,14,1,1,5,and walked back along the shore to his fishing shack,1,5,went back to his fishing shack,
5,14,1,1,6,"When he got close to the front door, he saw it was open.",1,6,"When he got close to the shack, he saw that the front door was open",
6,14,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",0,,,
7,14,1,1,8,There was a big black bear,0,,,
8,14,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,1,7,it was pulling the cork out of a jar of molasses with its teeth,
9,14,1,1,10,The molasses spilled all over the floor,0,,,
10,14,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
11,14,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,8,The old man screamed when he saw the bear and the bear ran out if the shack to the lake shore. ,
12,14,1,1,13,Standing on its hind legs,1,9,The bear stood on his hind legs ,
13,14,1,1,14,it held up the paw full of molasses,1,10,holding up ,
14,14,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,1,12,"Soon, a swarm of flies and mosquitoes gathered around his paw trying to get to the molasses",
15,14,1,1,16,all over the sticky sweet paw,1,11,his sticky sweet paw,
16,14,1,1,17,Then the bear waded into the water,1,13,The bear waded into the water ,
17,14,1,1,18,with his sticky paw full of bugs,1,14,with his paw covered in bugs ,
18,14,1,1,19,It held the paw out over the water,1,15,above the water,
19,14,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,16,A trout suddenly jumped out if the water trying to eat the bugs,
20,14,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,1,17,but the bear swatted it aside onto the shore,
21,14,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,18,Another trout jumped into the air and then another,
22,14,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,Miscounted in original data excluded here
23,14,1,1,24,Soon it had a large pile,1,19,and soon the bear had a large pile of fish gathered on the shore,
24,14,1,1,25,The old man had caught nothing,0,,,
25,14,1,1,26,He watched that bear eat half a dozen trout,0,,,
26,14,1,1,27,his stomach rumbling,0,,,
27,14,1,1,28,All he had for dinner was some bread and what was left of the molasses,0,,,
28,14,1,1,29,Finally the bear paused in his eating,0,,,
29,14,1,1,30,and looked over to the bushes where the old man was hidden,0,,,
30,14,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,14,1,1,32,Then it walked away up the shore,0,,,
32,14,1,1,33,The old man crept out of the bushes and down to the shore,0,,,
33,14,1,1,34,"Sure enough, the bear had left six large trout for him",0,,,
34,14,1,1,35,He looked over at the bear,0,,,
35,14,1,1,36,It was standing at the edge of the wood watching,0,,,
36,14,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,14,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,14,1,1,39,and disappeared into the thicket,0,,,
39,14,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,
40,14,1,1,41,The old man never hunted bears again,0,,,
41,14,1,2,1,One fine day an old Maine man was fishing ,1,1,One fine day an old Maine man was fishing ,
42,14,1,2,2,on his favorite lake ,1,2,on his favorite lake,
43,14,1,2,3,and catching very little,1,3,catching very little,
44,14,1,2,4,"Finally, he gave up",1,4,"Finally, he gave up ",
45,14,1,2,5,and walked back along the shore to his fishing shack,1,5,walked along the shore back to his fishing shack. ,
46,14,1,2,6,"When he got close to the front door, he saw it was open.",1,6,"When he got close to the front door, he saw it was open",
47,14,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,7,"Being of a suspicious nature, he quietly went up to the door and looked inside",
48,14,1,2,8,There was a big black bear,1,8,There was a big black bear,
49,14,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,1,9,He had just pulled the cork out of his molasses jug with his teeth,
50,14,1,2,10,The molasses spilled all over the floor,1,10,The molasses spilled all over the floor,
51,14,1,2,11,"and the bear rubbed his paw in it, smearing it all over",1,11,the bear smearing his paw in it,
52,14,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,12,"When the old man saw the bear he scream out loud, startling the bear and causing it to run out to the lake shore",
