,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations
0,5,1,1,1,One fine day an old Maine man was fishing ,1,1,One day an old Maine man was fishing on a lake,
1,5,1,1,2,on his favorite lake ,0,,,
2,5,1,1,3,and catching very little,1,2,He wasn’t having any luck catching fish,
3,5,1,1,4,"Finally, he gave up",1,3,After a while he gave up ,
4,5,1,1,5,and walked back along the shore to his fishing shack,1,4,went back to his fishing shack,
5,5,1,1,6,"When he got close to the front door, he saw it was open.",1,5,"When he arrived, the door was wide open",
6,5,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,6,"The man was of a suspicious nature, so he crept inside quietly",
7,5,1,1,8,There was a big black bear,1,7,saw a huge bear,
8,5,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,1,8,tearing off the cork to a molasses bottle with his teeth,
9,5,1,1,10,The molasses spilled all over the floor,0,,,
10,5,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,
11,5,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,9,"The man screamed, which startled the bear ",
12,5,1,1,13,Standing on its hind legs,0,,,
13,5,1,1,14,it held up the paw full of molasses,0,,,
14,5,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,
15,5,1,1,16,all over the sticky sweet paw,1,10,sweet sticky paw,
16,5,1,1,17,Then the bear waded into the water,1,11,The bear waded into the lake ,
17,5,1,1,18,with his sticky paw full of bugs,0,,,
18,5,1,1,19,It held the paw out over the water,0,,,
19,5,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,12,Suddenly a large trout jumped out of the water,
20,5,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,1,13,the bear hit it with his paw onto the shore,
21,5,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,Miscounted in orig excluded here
22,5,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,14,the bear cuffed every trout that jumped out of the water ,
23,5,1,1,24,Soon it had a large pile,0,,,
24,5,1,1,25,The old man had caught nothing,0,,,
25,5,1,1,26,He watched that bear eat half a dozen trout,1,15,The old man watched the bear eat half a dozen trout,
26,5,1,1,27,his stomach rumbling,1,16,his stomach rumbling,
27,5,1,1,28,All he had for dinner was some bread and what was left of the molasses,0,,,
28,5,1,1,29,Finally the bear paused in his eating,0,,,
29,5,1,1,30,and looked over to the bushes where the old man was hidden,0,,,
30,5,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,
31,5,1,1,32,Then it walked away up the shore,1,17,leaving,
32,5,1,1,33,The old man crept out of the bushes and down to the shore,1,18,The man crept down to the bank to look,
33,5,1,1,34,"Sure enough, the bear had left six large trout for him",1,19,"sure enough, the bear had left him six large trout",Changed 6 to six
34,5,1,1,35,He looked over at the bear,1,20,He looked up to see the bear,
35,5,1,1,36,It was standing at the edge of the wood watching,1,21,standing in the woods,
36,5,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,
37,5,1,1,38,The bear waved the now-clean paw at the old man,0,,,
38,5,1,1,39,and disappeared into the thicket,0,,,
