,subject,story,timeTest,serialPos,origText,recalled,posRec,recText,Observations,Unnamed: 9
0,9,1,1,1,One fine day an old Maine man was fishing ,1,1,One day an old Maine fisherman was out on his boat,,
1,9,1,1,2,on his favorite lake ,0,,,,
2,9,1,1,3,and catching very little,1,2,had caught nothing,,
3,9,1,1,4,"Finally, he gave up",1,3,"Growing frustrated, he decided to go back to his little house",,
4,9,1,1,5,and walked back along the shore to his fishing shack,0,,,,
5,9,1,1,6,"When he got close to the front door, he saw it was open.",1,4,"When he approached the fisher’s shack, he saw the door was ajar",,
6,9,1,1,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,5,"Given that he was of a suspicious nature, he cautiously peeked in",,
7,9,1,1,8,There was a big black bear,1,6,only to see a large black bear,,
8,9,1,1,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,,
9,9,1,1,10,The molasses spilled all over the floor,0,,,,
10,9,1,1,11,"and the bear rubbed his paw in it, smearing it all over",0,,,,
11,9,1,1,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,7,"When he saw the bear, the old man was frightened and screamed, startling the bear It fled outside",,
12,9,1,1,13,Standing on its hind legs,0,,,,
13,9,1,1,14,it held up the paw full of molasses,0,,,,
14,9,1,1,15,Soon all the flies and bugs and mosquitoes were swarming,0,,,,
15,9,1,1,16,all over the sticky sweet paw,0,,,,
16,9,1,1,17,Then the bear waded into the water,1,9,Once the bear was in the water,,
17,9,1,1,18,with his sticky paw full of bugs,1,8,many flies caught on his molasses covered hand,,
18,9,1,1,19,It held the paw out over the water,0,,,,
19,9,1,1,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,10,the flies on his paw began to attract fish. A trout jumped toward the flies,,
20,9,1,1,21,The bear gave it a swat and it flew to the shore and flopped there,1,11,which the bear hit to shore using his opposite paw,,
21,9,1,1,22,"Then another fish jumped into the air after the flies, followed swiftly by another",1,12,One-by-one fish,,
22,9,1,1,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",1,13,repeated this process,,
23,9,1,1,24,Soon it had a large pile,1,14,until the bear had a large pile of trout on the shore,,
24,9,1,1,25,The old man had caught nothing,0,,,,
25,9,1,1,26,He watched that bear eat half a dozen trout,0,,,,
26,9,1,1,27,his stomach rumbling,0,,,,
27,9,1,1,28,All he had for dinner was some bread and what was left of the molasses,0,,,,
28,9,1,1,29,Finally the bear paused in his eating,0,,,,
29,9,1,1,30,and looked over to the bushes where the old man was hidden,0,,,,
30,9,1,1,31,The bear stood up and laid the remaining fish in a row,0,,,,
31,9,1,1,32,Then it walked away up the shore,0,,,,
32,9,1,1,33,The old man crept out of the bushes and down to the shore,0,,,,
33,9,1,1,34,"Sure enough, the bear had left six large trout for him",0,,,,
34,9,1,1,35,He looked over at the bear,0,,,,
35,9,1,1,36,It was standing at the edge of the wood watching,0,,,,
36,9,1,1,37,"""Thanks a lot,"" the old man called to the bear",0,,,,
37,9,1,1,38,The bear waved the now-clean paw at the old man,0,,,,
38,9,1,1,39,and disappeared into the thicket,0,,,,
39,9,1,1,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,,
40,9,1,1,41,The old man never hunted bears again,0,,,,
41,9,1,2,1,One fine day an old Maine man was fishing ,1,1,One fine day an old Maine man was fishing ,,
42,9,1,2,2,on his favorite lake ,1,2,in his favorite lake,,
43,9,1,2,3,and catching very little,1,3,Exhausted and having caught nothing all day,,
44,9,1,2,4,"Finally, he gave up",1,4,he decided to,,
45,9,1,2,5,and walked back along the shore to his fishing shack,1,5,walk back up the shore to his old fishing shack,,
46,9,1,2,6,"When he got close to the front door, he saw it was open.",1,6,"When approaching the shack, he saw the door was ajar",,
47,9,1,2,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,7,"Being of a suspicious nature, he entered quietly and cautiously",,
48,9,1,2,8,There was a big black bear,1,8,"Upon entering, he saw a large black bear",,
49,9,1,2,9,It was just pulling the cork out of his molasses jug with its teeth,1,9,"with his molasses in hand, carefully uncorking it with its teeth",,
50,9,1,2,10,The molasses spilled all over the floor,0,,,,
51,9,1,2,11,"and the bear rubbed his paw in it, smearing it all over",0,,,,
52,9,1,2,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,10,"Scared, the man let out a scream and fled to hide in a nearby bush. Startled by the man’s cry, the bear dropped the molasses and went out to the nearby shore",,
53,9,1,2,13,Standing on its hind legs,1,12,the bear stood on his hindlegs by the lake,Changed hindlegs to hind legs,
54,9,1,2,14,it held up the paw full of molasses,1,11,With his molasses-covered paw in the air,,
55,9,1,2,15,Soon all the flies and bugs and mosquitoes were swarming,1,13,"Soon, flies, mosquitoes, and other bugs began to fly toward ",,
56,9,1,2,16,all over the sticky sweet paw,1,14,the sticky-sweet molasses,,
57,9,1,2,17,Then the bear waded into the water,1,16,the bear waded into the water,,
58,9,1,2,18,with his sticky paw full of bugs,1,15,Once his paw was covered,,
59,9,1,2,19,It held the paw out over the water,1,17,It held its paw just over the water of the lake,,
60,9,1,2,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",1,18,"soon enough, a trout leapt out of the water, attracted to the flies on the bear’s paw",,
61,9,1,2,21,The bear gave it a swat and it flew to the shore and flopped there,1,19,"The bear used his other paw to swiftly sweep the fish to shore, where it flailed. ",,
62,9,1,2,22,"Then another fish jumped into the air after the flies, followed swiftly by another",0,,,,
63,9,1,2,23,"Every time a fish jumped after his paw, the bear cuffed it ashore",0,,,,
64,9,1,2,24,Soon it had a large pile,0,,,,
65,9,1,2,25,The old man had caught nothing,0,,,,
66,9,1,2,26,He watched that bear eat half a dozen trout,0,,,,
67,9,1,2,27,his stomach rumbling,0,,,,
68,9,1,2,28,All he had for dinner was some bread and what was left of the molasses,0,,,,
69,9,1,2,29,Finally the bear paused in his eating,0,,,,
70,9,1,2,30,and looked over to the bushes where the old man was hidden,0,,,,
71,9,1,2,31,The bear stood up and laid the remaining fish in a row,0,,,,
72,9,1,2,32,Then it walked away up the shore,0,,,,
73,9,1,2,33,The old man crept out of the bushes and down to the shore,0,,,,
74,9,1,2,34,"Sure enough, the bear had left six large trout for him",0,,,,
75,9,1,2,35,He looked over at the bear,0,,,,
76,9,1,2,36,It was standing at the edge of the wood watching,0,,,,
77,9,1,2,37,"""Thanks a lot,"" the old man called to the bear",0,,,,
78,9,1,2,38,The bear waved the now-clean paw at the old man,0,,,,
79,9,1,2,39,and disappeared into the thicket,0,,,,
80,9,1,2,40,"""Well,"" said the old man, ""That's the first time a bear has ever paid me for my molasses.""",0,,,,
81,9,1,2,41,The old man never hunted bears again,0,,,,
82,9,1,3,1,One fine day an old Maine man was fishing ,0,,,,
83,9,1,3,2,on his favorite lake ,0,,,,
84,9,1,3,3,and catching very little,1,1,he hadn’t caught anything all day,,
85,9,1,3,4,"Finally, he gave up",1,2,"Eventually, he decided to give in",,
86,9,1,3,5,and walked back along the shore to his fishing shack,1,3,return to his shack up the shore,,
87,9,1,3,6,"When he got close to the front door, he saw it was open.",1,4,"As he approached his house, he noticed that the door was ajar",,
88,9,1,3,7,"Being of a suspicious nature, he walked to the door quietly and looked inside",1,5,"Being of a suspicious nature, he peered into the house",,
89,9,1,3,8,There was a big black bear,0,,,,
90,9,1,3,9,It was just pulling the cork out of his molasses jug with its teeth,0,,,,
91,9,1,3,10,The molasses spilled all over the floor,0,,,,
92,9,1,3,11,"and the bear rubbed his paw in it, smearing it all over",1,6,covered his paw in the gooey substance,,
93,9,1,3,12,"When the old man saw the bear, he screamed out loud causing the bear the startle and run to the lake shore",1,7,"The man screamed and ran from the house, hiding in a nearby bush. Shocked at the sound of the scream, the bear also ran out to the shore of the lake",,
94,9,1,3,13,Standing on its hind legs,0,,,,
95,9,1,3,14,it held up the paw full of molasses,1,8,The bear raised his marmalade-covered paw high in the air,,
96,9,1,3,15,Soon all the flies and bugs and mosquitoes were swarming,1,9,"soon becoming covered in mosquitoes, flies, and other bugs ",,
97,9,1,3,16,all over the sticky sweet paw,1,10,attracted to the sticky-sweet substance,,
98,9,1,3,17,Then the bear waded into the water,1,11,"Then, he waded into the lake",,
99,9,1,3,18,with his sticky paw full of bugs,1,12,holding the bug and marmalade-covered paw,,
100,9,1,3,19,It held the paw out over the water,1,13,over the water,,
101,9,1,3,20,"Suddenly, a big trout came jumping out of the water trying to get to the flies",0,,,,
