	subject	list	trial_type	position	item	text	span	scheme	story	trial
0	10	0	study	1	0	It was a hot, sunny day and Kaylie and Rachel decided to take advantage of their off day and take a trip to the beach.	[0, 118]	baseline	Beach	1
1	10	0	study	2	1	The sun was an optimistic yellow pellet, blistering in the sky as they were on their way to Old Orchard Beach in Maine.	[118, 237]	baseline	Beach	1
2	10	0	study	3	2	Once arriving and walking from the parking lot, they spotted the crystal clear water that faded into a deep blue on the horizon.	[237, 365]	baseline	Beach	1
3	10	0	study	4	3	The beach was swarming with people.	[365, 400]	baseline	Beach	1
4	10	0	study	5	4	Some on yellow, orange, white, and pink towels, while others were seen stretched out on lounge chairs with broad-brimmed hats shading their eyes from the rays of the sun.	[400, 570]	baseline	Beach	1
5	10	0	study	6	5	Children were decorating sandcastles with smooth, round seashells, and Kaylie decided to stretch out on her towel in the sand for a quick nap while Rachel went to cool off in the ocean.	[570, 755]	baseline	Beach	1
6	10	0	study	7	6	The sun shined on the water, causing it to look like a million little crystals.	[755, 834]	baseline	Beach	1
7	10	0	study	8	7	Just before making it to the surf, Rachel saw a little girl with freckles in a light purple bathing suit and little yellow floaties on her arms.	[834, 978]	baseline	Beach	1
8	10	0	study	9	8	The girl darted in front of Rachel, closely followed by a boy in green swimming shorts.	[978, 1065]	baseline	Beach	1
9	10	0	study	10	9	Rachel smiled as she reminisced on memories of beach days with her brothers.	[1065, 1141]	baseline	Beach	1
10	10	0	study	11	10	After spending some time in the water, she looked up and saw four teenagers flying colorful paragliders.	[1141, 1245]	baseline	Beach	1
11	10	0	study	12	11	She thought to herself that the day was truly perfect, and all anxieties from her daily life were absent for a while.	[1245, 1362]	baseline	Beach	1
12	10	0	study	13	12	She closed her eyes for a few seconds to savor the moment before going to lie down next to Kaylie in the warm sand.	[1362, 1477]	baseline	Beach	1
13	10	0	recall	1	0	It was a hot, sunny day and Rachel and her friend Kaylie decided it would be a good day to go to the beach.	[0, 107]	baseline	Beach	1
14	10	0	recall	2	1	They headed out to Old Orchard beach in Maine.	[107, 153]	baseline	Beach	1
15	10	0	recall	3	4	There were people laying under beach umbrellas wearing wide brimmed hats.	[205, 278]	baseline	Beach	1
